B,C,D,E,F,G
-99,-96,,-89,-100,
-102,-98,,-92,,
-103,-99,,-92,-101,
-100,-100,,-91,-99,
-101,-102,,-92,-1,
-100,-102,,-92,,
-100,-100,,-92,-99,
,-101,,-91,-98,
-96,-100,,-93,-95,
-100,-100,,-95,-95,
-102,-101,,-96,,
-101,-102,,-96,-95,
-101,-101,,-94,-96,
-102,-100,,-94,-95,
,-98,,-94,-98,
,,,-93,,
,-95,,-93,-97,
-102,-100,,-93,,
-101,-102,,-92,,
-100,-101,,-93,-106,
-100,-98,,-94,,
-100,-97,,-98,-99,
-103,-96,,-99,-99,
-101,-97,,-99,-98,
-101,-99,,-98,-101,
-97,-103,,-97,-100,
-96,,,-97,-99,
-95,,,-97,-99,
-96,,,-95,,
-94,-100,,-93,-101,
-94,-100,,-92,-102,
-94,-100,,,,
-94,-99,,-86,-100,
-92,-100,,-89,,
-92,-100,,-88,,
-92,-100,,-90,,
-92,-95,,-90,,
-92,-93,,-90,,
-94,-92,,-91,-100,
-93,-91,,-92,,
-90,-91,,-94,,
-91,-91,,-92,-98,
-92,-92,,-92,,
-92,-92,,-92,-98,
-93,-91,,-91,-100,
-92,-90,,-92,-99,
-92,-90,,-93,-100,
-91,-92,,-93,-97,
-94,-93,,,,
-95,-93,,,,
-97,-96,,-94,-99,
-95,-98,,-95,-100,-104
-93,-102,,-97,-100,
-93,-102,,-99,-99,
,-99,,-100,-101,
,-97,,-103,-102,
,,,,-103,
,-100,,-98,,-97
,-98,,-100,,-98
,-97,,-98,,-96
,-100,,-100,,-94
,-98,,-101,,-93
,-99,,-101,,-91
,,,,-100,-90
,-90,,-100,,-89
,-90,,-98,,-89
,-89,,-95,,-89
,-90,,-95,,-90
,-92,,-95,,-90
,-92,,-94,,-90
,-91,,-94,,-91
,-90,,-97,,-92
,-88,,-99,,-92
,-90,,-102,,-93
,-90,,-100,,-92
,-91,,-98,,-91
,-91,,-98,,-91
,-90,,-101,,-91
,-89,,-99,,-91
,-89,,,,-91
,,,-98,,
,-88,,,,-90
,-89,,-101,,-90
-90,-92,,-103,,
-91,-90,,,,
-93,-89,,-99,,
-92,-88,,-101,,
-88,-88,,-102,,
-85,-91,,,,
-86,-94,,,,
-85,-94,,,,-103
-86,-94,,-102,,
-87,-95,,-100,,
-90,-98,,-100,,
-91,-95,,-101,,
-90,-92,,-99,,
-95,-94,,-99,,
-92,-92,,-98,,
-91,-91,,-97,,
-89,-90,,-97,,
-89,-91,,-97,,
-89,-94,,-98,,
-89,-98,,-98,,
,-99,,-98,,
-89,,,,,
-88,-88,,-100,,
-87,-90,,-98,,
-87,-93,,-99,,
-88,-94,,-100,,
-89,-94,,-104,,
-90,,,-101,,
-89,,,-101,,
,,,,,
-92,,,-97,,
-93,,,-97,,
-92,,,-95,,
-92,,,-97,,
-92,,,-96,,
-92,,,-97,,
-91,,,-97,,
-93,,,-100,,
-92,,,-100,,
-93,,,-101,,
-94,,,-101,,
-94,,,-101,,
-93,,,,,
-93,,,,,
-92,,,,,
,,,,,
-86,,,-96,,
-88,,,-99,,
-89,,,-99,,
-90,,,-97,,
-92,,,-96,,
-93,,,-97,,
-90,,,-99,,
-86,-86,,,,
-88,-88,,,,
-90,-94,,-98,,
-91,-93,,-99,,
-89,-89,,-97,,
-89,-87,,-97,,
-93,-88,,-99,,
-101,-91,,-99,,
-87,-86,,-97,,
-87,-85,,,,
,-85,,-97,,
,-85,,-99,,
,-84,,-97,,
,-83,,-98,,
,-83,,-94,,
,-83,,-94,,
,,,,,
,,,,,
-89,-83,,-100,,
-90,-84,,-98,,
-89,,,-98,,
-89,,,-99,,
-88,,,-97,,
-88,,,-97,,
,,,,,
-89,-81,,-98,,
-88,-84,,-96,,
-87,-86,,-95,,
-87,-85,,-93,,
-88,-85,,-93,,
-89,-84,,-94,,
-91,-83,,-96,,
-100,-84,,-94,,-99
-99,-86,,-98,,
-94,-88,,-97,,-98
-92,-91,,-98,,-99
-92,-92,,-100,,
-92,-94,,-95,,-99
-92,-91,,-96,,
-94,-88,,,,-99
,,,-93,,
-87,-92,,-94,,
-87,-92,,-97,,
-88,-91,,-93,,-103
-89,-91,,-95,,
-91,-92,,-95,,
-91,-96,,-97,,
-92,-94,,-96,,
,-89,,-100,-100,
-99,-90,,-101,-97,
-97,-90,,-97,-99,
-95,-92,,-93,-96,
-96,-91,,-94,-101,
-97,,,-92,-98,-102
-96,-88,,-92,-100,
-94,-88,,-91,-96,
-90,-85,,-87,-101,
-89,-85,,-88,-99,
-91,-85,,-91,-100,
-91,-86,,-96,-102,
-91,-87,,-97,-100,
,-87,,-92,-100,
,-87,,-89,-99,
,-89,,-89,-101,
,,,,-100,
,-97,,-89,-100,-97
,-99,,-89,-99,-98
,,,-88,-98,-97
,,,-89,,-96
,,,-89,,-96
,-101,,-89,,-97
,,,-91,,-94
,,,,,
,,,,,
,-92,,-93,,-94
,-92,,-91,,-96
,-92,,-91,,-98
,-92,,-92,,-98
,-92,,-96,,-100
,-92,,-94,,-101
,-97,,-90,,-98
,-95,,-90,,-97
,-97,,-92,,-96
,-97,,,,-96
,-98,,,,-94
,-99,,,,-93
,-97,,-95,,-93
,-94,,,,-93
,,,,,
,,,,,
-99,-97,,-84,,
-100,-100,,-85,-97,
-100,-102,,-85,-98,
-100,-98,,-85,-96,
-102,-97,,-86,,
,-95,,-88,,
-102,-93,,,,
-102,-92,,,,
-99,-96,,-87,,
-98,-97,,-88,,
-97,-98,,-88,,
-94,-100,,-87,,
-94,-98,,-86,,
-94,-98,,-86,,
-94,-94,,,,
-94,-93,,-85,,
-95,-91,,-85,,
-95,-90,,-85,,
-94,-89,,-84,,
,-89,,-84,,
,-88,,-83,,
,-91,,-84,,
,,,,,
,-96,,-87,-96,
,-99,,-85,,
,-98,,-84,-99,
,-98,,-85,-99,
,-97,,-85,-99,
,-98,,-84,-102,
,,,-85,-99,
,-95,,,,
,-95,,-85,-99,
,-94,,-85,-98,
,-93,,-87,-97,
,-94,,-88,-100,
,-94,,-86,-100,
,-93,,-86,-100,
,-94,,-87,,
,-98,,-85,-98,
,-98,,-86,-100,
,-99,,-88,-101,
,-98,,-88,-100,
,-99,,-87,-99,
,-97,,-86,-97,
,-100,,-86,-100,
,-98,,,-99,
,-87,,,-99,
-99,-90,,,,
-101,-90,,,,
-100,-90,,,,
-101,-89,,,,
-100,-88,,,,
-99,-88,,,,
-97,-87,,,,
-101,-95,,,,
-98,-85,,,-98,
-100,-85,,,,
-101,-84,,,-96,
,-85,,,-97,
-102,-85,,,-97,
-101,-85,,,-97,
-100,-84,,,-98,
-99,-99,,,,
-99,-101,,,,
-99,-82,,,-98,
-98,-82,,,-98,
-96,-82,,,-96,
-96,-83,,,,
-97,-85,,,,
,-86,,,,
,,,,,
-96,-82,,,-96,
-99,,,-81,-99,
,,,-81,-99,
-100,,,-81,-99,
-99,,,-82,,
-98,,,-82,,
-99,,,-83,,
,,,,,
,,,,-97,
-99,-91,,-83,-96,
-99,-93,,-82,-93,
-100,-91,,-83,-93,
-100,-91,,-83,-96,
-101,-91,,-84,-97,
-100,-91,,-86,-95,
-99,-94,,-86,,
-99,-93,,-86,-102,
-97,-94,,-87,-99,
-100,-95,,-89,,
-100,-98,,-88,,
-101,-95,,-88,,
-100,-94,,,,
-99,-94,,,-99,
,,,,,
-97,,,-96,-100,
-99,-100,,-94,,
-100,-100,,-96,-102,
-101,-98,,-93,,
-100,-99,,-90,,
-98,-100,,-94,,
-98,-98,,-95,,
-100,-99,,,,
-99,-102,,-88,,
-101,-102,,-89,,
-100,-102,,-89,,
-98,-100,,-86,,
-98,-100,,-85,,
-97,-102,,-84,,
-97,-98,,-84,,
-100,-100,,,,
-98,-97,,-86,,
-99,-100,,-87,,
-99,-99,,-87,,
-101,-98,,-86,,
-101,-97,,-88,,
-101,-98,,-88,,
,-99,,-87,,
,,,,,
,-98,,-86,,
-99,-98,,-85,,
,-97,,-85,,
-101,,,-87,,
-101,,,-89,,
-101,,,-93,,
-101,,,-93,,
,,,,,
-100,,,-91,,
-101,,,-92,,
-100,,,-94,,
-100,,,-95,,
-99,,,-96,,
-100,,,-94,,
-102,,,-98,,-98
-101,,,-94,,-93
-102,,,-94,,-32
-102,,,-94,,-89
-101,,,-92,,
-102,,,-93,,
-101,,,-94,,-87
,,,-98,,-87
,,,,,
,,,,,
-101,,,-93,,
-98,,,-94,,
-102,,,-92,,-90
,,,-90,,
-100,,,-90,,-89
-101,,,-90,,
,,,-88,,-87
,,,,,
,,,-88,,-87
,,,-87,,-87
,,,-91,,
-98,,,-91,,
-101,,,-90,,
-102,,,-92,,
,,,-92,,
-100,,,,,
-101,,,-88,,-89
-102,,,-87,,-91
-101,,,-88,,-90
-101,,,-87,,
-101,,,-91,,-87
-99,,,-90,,
,,,-91,,-87
,,,-100,,
,,,-95,,
,,,-97,,
,,,-94,,
,,,-95,,
,,,-94,,
,,,-95,,
,,,-93,,
,,,,,
,-100,,,,
,-98,,-92,,-98
,-99,,-95,,-93
,-99,,-98,,
,-98,,-92,,-89
,,,-98,,-88
,-100,,-96,,-89
,-100,,-94,,-87
,-100,,-94,,-88
,-100,,-93,,-89
,-102,,-94,,-93
,,,-95,,-90
,-98,,-96,,-87
,-102,,-96,,-87
,-101,,,,-87
,,,,,
,,,-93,,
,-96,,-95,,-86
,-96,,-97,,-87
,-97,,-98,,-87
,-100,,-101,,-88
,-100,,-97,,-88
,-98,,-96,,-87
,,,,,
,,,-93,-88,
,,,-95,-88,
,,,-95,-88,
,,,-95,-91,
,,,-93,-92,
,,,-100,-90,
,,,-93,-89,
,,,,,
,,,-95,-85,
,,,-99,-86,
,,,-96,-85,
,,,-94,-84,
-102,,,-98,-84,
-101,,,-93,-86,
,,,-93,-88,
,,,-88,-100,
,,,-92,,
,,,-89,,
,,,-92,-102,
,,,-89,-101,
,,,-88,,
,,,-91,-99,
,,,-88,-102,
,,,-93,-99,
,,,-89,-102,
,,,-90,-101,
,,,-92,-101,
,,,-91,-100,
,,,-96,-102,
,,,-91,-100,
,,,-98,-101,
,,,-95,-100,
,,,-93,-100,
,,,-94,-99,
,,,,-101,
,,,,-102,
,,,,-102,
-103,,,,,
-101,,,,,
,,,,,
-95,,,,,
-96,,,,,
-96,,,,,
-98,,,,,
-93,,,,,
-99,,,,,
-95,,,,,
-102,,,,,
-99,,,,,
-98,,,,,
-94,,,,,
-93,,,,,
-90,,,,,
-94,,,,,
-91,,,,,
-100,,,,,
-93,,,,,
-93,,,,,
-89,,,,,
-90,,,,,
-89,,,,,
-88,,,,,
-87,,,,,
-87,,,,,
,,,-87,,
-102,,,-88,,
,,,-88,,
-101,,,-90,,
,,,-88,,
,,,-91,,
-101,,,-89,,
,,,,,
,,,,,
,,,-90,,
,,,-92,,
-102,,,-91,,
-99,,,-90,,
-101,,,-89,,
,,,-92,,
-98,,,-95,,
-98,,,-102,,
-101,,,-97,,
-101,,,-99,,
-100,,,-101,,
-99,,,-105,,
-101,,,-97,,
-100,,,,,
,,,,,
-101,,,-90,,
-99,,,-97,,
-100,,,-92,,
-102,,,-90,,
,,,-88,,
,,,-90,,
-102,,,-88,,
-101,,,,,
-101,,,-87,,
,,,-86,,
-102,,,-87,,
,,,-87,,
-100,,,-87,,
-99,,,-88,,
-101,,,-86,,
-100,,,,,-91
-100,,,-85,,-90
-99,,,-85,,-91
-98,,,-84,,-92
-99,,,-84,,-91
-100,,,-85,,-92
-96,,,-84,,-92
,,,-84,,-92
-98,,,-87,,
-101,,,-88,,-90
-100,,,-86,,
-101,,,-85,,
-102,,,-83,,
-102,,,-83,,
,,,-84,,
,,,-85,,
-102,-96,,-87,,
-102,-97,,-88,,
-100,-97,,-88,,
,-96,,-90,,-90
,-97,,-91,,
-101,-100,,-88,,-92
-101,-100,,-86,,-93
-102,-101,,-86,,
-100,-101,,-88,,
-101,-102,,-89,,
-102,-101,,-91,,
-101,-100,,,,
-101,-102,,,,
-100,,,,,
-102,,,,,
-100,-101,,,,
,,,,,
